1,100,36,6000
2,391,36,12500
1,254,32,10300
1,282,33,10500
2,389,29,12800
2,479,36,16000
2,433,32,13800
2,457,30,14000
1,265,35,10500
1,346,39,9600
2,407,30,13000
2,401,31,12500
2,386,39,12500
3,709,17,20500
1,282,33,10600
2,551,35,17000
1,371,32,13000
1,470,35,13000
2,480,32,15000
2,486,32,14000
2,482,36,13300
3,922,18,25000
2,443,32,12500
2,501,33,14500
2,482,36,12500
1,397,33,10800
2,572,37,16500
1,371,32,12000
2,482,36,14000
2,482,36,14000
2,607,30,17000
2,670,36,16500
1,334,33,11000
2,462,36,13300
