65.36,13136.00,72.10,33700.00,4600.00
64.91,13128.00,71.90,33700.00,4600.00
64.75,13141.00,71.65,33700.00,4550.00
63.50,13149.00,71.55,33700.00,4550.00
62.77,13156.00,70.35,33700.00,4500.00
63.12,13166.00,69.85,33700.00,4450.00
62.71,13167.00,69.95,33600.00,4500.00
65.71,13127.00,69.90,33500.00,4500.00
67.15,13125.00,71.95,33600.00,4500.00
67.16,13123.00,72.95,33800.00,4550.00
67.98,13106.00,73.10,34000.00,4650.00
67.93,13103.00,73.45,34000.00,4650.00
67.36,13102.00,73.60,34000.00,4650.00
67.66,13103.00,73.60,34200.00,4650.00
67.64,13103.00,74.10,34300.00,4650.00
64.64,13098.00,74.10,34700.00,4600.00
63.76,13087.00,71.30,34700.00,4500.00
62.56,13086.00,70.50,34400.00,4500.00
63.83,13086.00,69.95,34200.00,4450.00
63.75,13085.00,70.60,34200.00,4450.00
63.74,13079.00,70.60,34400.00,4550.00
63.58,13077.00,70.20,34600.00,4550.00
63.18,13077.00,69.85,35200.00,4550.00
63.12,13077.00,69.70,35200.00,4550.00
63.07,13077.00,69.90,35300.00,4550.00
63.07,13066.00,69.90,35500.00,4600.00
63.29,13067.00,69.80,35500.00,4550.00
63.32,13065.00,70.25,35500.00,4600.00
63.48,13062.00,70.00,35500.00,4650.00
64.09,13060.00,70.00,35500.00,4700.00
63.51,13059.00,70.00,35000.00,4700.00
62.82,13059.00,69.35,34700.00,4700.00
62.38,13057.00,69.25,34500.00,4700.00
61.83,13058.00,69.35,34500.00,4700.00
59.85,13059.00,69.10,34400.00,4700.00
59.75,13059.00,67.30,34200.00,4700.00
58.73,13061.00,67.35,34200.00,4700.00
58.70,13067.00,66.50,34200.00,4700.00
59.04,13065.00,66.40,34200.00,4700.00
59.64,13056.00,66.75,34200.00,4700.00
59.80,13061.00,67.05,33700.00,4700.00
60.05,13059.00,67.05,33000.00,4750.00
59.49,13051.00,67.25,33300.00,4725.00
59.65,13051.00,66.90,32300.00,4750.00
59.20,13051.00,66.90,32300.00,4800.00
60.93,13051.00,66.65,32200.00,4950.00
61.14,13051.00,68.20,32400.00,4950.00
61.94,13051.00,68.45,32400.00,5050.00
61.72,13076.00,68.60,32400.00,5050.00
61.61,13073.00,68.40,32600.00,5200.00
61.69,13065.00,68.40,32700.00,5200.00
63.86,13067.00,68.40,32800.00,5200.00
63.76,13069.00,70.45,32900.00,5200.00
63.44,13075.00,70.45,32900.00,5250.00
63.85,13073.00,70.20,32800.00,5300.00
63.24,13076.00,70.60,32600.00,5400.00
63.78,13061.00,70.00,32600.00,5350.00
